Age_ka,Depth_top_m,Depth_bottom_m,Ca_ppb,Age_b2k,CV_Ca,eta
13.31,1544.2,0.15,39.34,13310.0,0.5326778772424611,1.6555523913121837
13.33,1545.02,0.15,29.81,13330.0,0.42075826912315417,1.465289057509362
13.35,1545.94,0.151,34.58,13350.0,0.3531826069490277,1.350410431813347
13.37,1546.78,0.151,38.65,13370.0,0.31055459202133573,1.2779428064362706
13.39,1547.75,0.152,30.06,13390.0,0.30387014250857225,1.266579242264573
13.41,1548.55,0.152,34.37,13410.0,0.3198951530475537,1.2938217601808413
13.43,1549.46,0.153,32.35,13430.0,0.33968082591338733,1.3274574040527585
13.45,1550.33,0.153,41.72,13450.0,0.34021309313602205,1.3283622583312376
13.47,1551.27,0.154,30.55,13470.0,0.34189047692077534,1.331213810765318
13.49,1552.17,0.155,33.21,13490.0,0.3450122285571151,1.3365207885470958
13.51,1553.16,0.155,30.84,13510.0,0.34816518310561895,1.3418808112795522
13.53,1553.95,0.156,41.58,13530.0,0.35330491944581993,1.3506183630578938
13.55,1554.75,0.156,38.73,13550.0,0.3534612045500788,1.3508840477351338
13.57,1555.5,0.157,71.51,13570.0,0.35376487865576567,1.3514002937148017
13.59,1556.26,0.157,63.5,13590.0,0.35518131162593974,1.3538082297640974
13.61,1557.08,0.158,48.43,13610.0,0.36082073930954806,1.3633952568262315
13.63,1557.89,0.158,45.46,13630.0,0.3662395490350385,1.3726072333595654
13.65,1558.84,0.159,35.58,13650.0,0.36677143792207173,1.373511444467522
13.67,1559.72,0.159,31.76,13670.0,0.3716486172159633,1.3818026492671376
13.69,1560.62,0.16,32.63,13690.0,0.3760728366677002,1.3893238223350903
13.71,1561.51,0.16,28.88,13710.0,0.3794210279913262,1.3950157475852545
13.73,1562.43,0.161,30.59,13730.0,0.3810435631760395,1.3977740573992672
13.75,1563.36,0.161,33.82,13750.0,0.3833775628145944,1.4017418567848106
13.77,1564.34,0.162,34.49,13770.0,0.38522193466729254,1.4048772889343972
13.79,1565.2,0.162,37.87,13790.0,0.37931490184870703,1.3948353331428018
13.81,1566.16,0.163,32.41,13810.0,0.37731781014394616,1.3914402772447083
13.83,1567.16,0.163,32.05,13830.0,0.3799488953292369,1.3959131220597027
13.85,1568.06,0.164,33.31,13850.0,0.3827025257851933,1.4005942938348286
13.87,1568.98,0.165,32.48,13870.0,0.3836673701392898,1.4022345292367926
13.89,1569.95,0.165,27.78,13890.0,0.3844245918195815,1.4035218060932886
13.91,1570.75,0.166,36.63,13910.0,0.38787764933712326,1.4093920038731094
13.93,1571.51,0.166,51.84,13930.0,0.3914230461838466,1.4154191785125392
13.95,1572.26,0.167,57.81,13950.0,0.39274211727921304,1.4176615993746622
13.97,1572.97,0.167,77.59,13970.0,0.39616805101461766,1.42348568672485
13.99,1573.59,0.168,99.93,13990.0,0.3972264071806191,1.4252848922070525
14.01,1574.28,0.168,87.28,14010.0,0.3952310337995231,1.4218927574591893
14.03,1575.03,0.169,41.79,14030.0,0.3954701599083646,1.4222992718442198
14.05,1575.9,0.169,34.76,14050.0,0.3941233407669983,1.420009679303897
14.07,1576.77,0.17,32.4,14070.0,0.42961371899664424,1.4803433222942952
14.09,1577.59,0.17,29.0,14090.0,0.4955893509798222,1.5925018966656976
14.11,1578.54,0.171,27.55,14110.0,0.5828899397904099,1.740912897643697
14.13,1579.3,0.171,36.35,14130.0,0.6280554225510647,1.81769421833681
14.15,1580.19,0.172,30.27,14150.0,0.7020923448299672,1.943556986210944
14.17,1581.18,0.173,31.09,14170.0,0.723276657424495,1.9795703176216415
14.19,1582.16,0.173,26.42,14190.0,0.7482762845823789,2.0220696837900443
14.21,1583.16,0.174,27.22,14210.0,0.7757611450756939,2.0687939466286798
14.23,1584.06,0.174,38.51,14230.0,0.7994846626359924,2.109123926481187
14.25,1585.16,0.175,28.09,14250.0,0.8223504972131259,2.1479958452623142
14.27,1586.22,0.175,23.88,14270.0,0.8373494384050784,2.173494045288633
14.29,1587.24,0.176,30.86,14290.0,0.8365486243222812,2.172132661347878
14.31,1588.24,0.176,25.69,14310.0,0.8412400008025271,2.180108001364296
14.33,1589.2,0.177,30.57,14330.0,0.8355876705968979,2.170499040014726
14.35,1590.16,0.178,30.04,14350.0,0.8294950252546379,2.1601415429328847
14.37,1591.12,0.178,31.86,14370.0,0.8389639797144228,2.176238765514519
14.39,1592.08,0.179,30.91,14390.0,0.8590591426064277,2.2104005424309268
14.41,1593.14,0.179,30.43,14410.0,0.8501654534498925,2.1952812708648173
14.43,1594.21,0.18,29.16,14430.0,0.8375304923761955,2.173801837039532
14.45,1595.05,0.18,30.65,14450.0,0.8258267901807029,2.1539055433071947
14.47,1596.12,0.181,35.2,14470.0,0.8192656835204704,2.1427516619847995
14.49,1597.21,0.181,26.8,14490.0,0.8162428160936076,2.137612787359133
14.51,1598.32,0.182,27.47,14510.0,0.7985144980069994,2.107474646611899
14.53,1599.47,0.182,26.88,14530.0,0.7855087692754477,2.085364907768261
14.55,1600.52,0.183,25.84,14550.0,0.7751879543263375,2.0678195223547737
14.57,1601.4,0.184,33.62,14570.0,0.7719641919157257,2.0623391262567337
14.59,1602.32,0.184,36.92,14590.0,0.769354158725509,2.057902069833365
14.61,1603.31,0.185,33.51,14610.0,0.7723092609244874,2.062925743571628
14.63,1604.17,0.185,48.65,14630.0,0.7685222627305542,2.056487846641942
14.65,1604.89,0.186,94.83,14650.0,0.7555372807305398,2.0344133772419175
14.67,1605.38,0.187,124.63,14670.0,0.7457339005604506,2.017747630952766
14.69,1605.96,0.189,152.43,14690.0,0.7278834453403247,1.9874018570785519
14.71,1606.49,0.189,141.22,14710.0,0.7096640069317037,1.9564288117838964
14.73,1607.08,0.191,176.65,14730.0,0.6913918346239325,1.9253661188606852
14.75,1607.68,0.191,141.62,14750.0,0.6748647227747034,1.897270028716996
14.77,1608.28,0.191,146.64,14770.0,0.6569750928258208,1.8668576578038953
14.79,1608.8,0.192,159.28,14790.0,0.6396952095980563,1.8374818563166957
14.81,1609.36,0.193,168.68,14810.0,0.6215311840354228,1.8066030128602188
14.83,1609.88,0.194,180.47,14830.0,0.6029939695240623,1.7750897481909058
14.85,1610.39,0.194,185.46,14850.0,0.5875369540170446,1.748812821828976
14.87,1610.9,0.195,165.14,14870.0,0.5692418444223837,1.7177111355180523
14.89,1611.37,0.195,186.27,14890.0,0.5504402267487075,1.6857483854728028
14.91,1611.83,0.196,170.82,14910.0,0.5327510937615362,1.6556768593946116
14.93,1612.3,0.196,173.6,14930.0,0.514673439439517,1.6249448470471788
14.95,1612.83,0.197,222.13,14950.0,0.4966159396600718,1.5942470974221221
14.97,1613.32,0.198,260.12,14970.0,0.478307050488007,1.563121985829612
14.99,1613.72,0.198,187.59,14990.0,0.46047313742838325,1.5328043336282515
15.01,1614.18,0.198,181.56,15010.0,0.4425335183880715,1.5023069812597214
